candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations,source_csv,source_shard
539,53,0.0,0.7,0.97,0.0,0.25,0.75,50000,1,190.0,10.0,10,True,0.0526315789473684,180,0.9473684210526316,379.5052631578947,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
692,69,0.0,1.0,0.97,-0.1,0.25,0.75,50000,1,190.0,10.0,10,True,0.0526315789473684,179,0.9421052631578948,380.8263157894737,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
62,6,-0.1,0.7,0.995,-0.25,0.25,0.75,50000,1,190.0,10.0,10,True,0.0526315789473684,179,0.9421052631578948,419.2263157894737,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
224,22,-0.1,1.0,0.995,-0.25,0.25,0.75,50000,1,185.0,10.0,10,True,0.054054054054054,175,0.945945945945946,302.46486486486486,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_4/grid_results.csv,4
215,21,-0.1,1.0,0.97,0.0,0.25,0.75,50000,1,185.0,10.0,10,True,0.054054054054054,174,0.9405405405405406,363.05945945945945,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_5/grid_results.csv,5
628,62,0.0,0.85,0.995,-0.25,0.25,0.5,50000,1,185.0,10.0,10,True,0.054054054054054,175,0.945945945945946,388.8216216216216,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_8/grid_results.csv,8
448,44,-0.02,1.0,0.97,-0.1,0.25,0.5,50000,1,185.0,10.0,10,True,0.054054054054054,175,0.945945945945946,392.7783783783784,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_8/grid_results.csv,8
726,72,0.0,1.0,0.995,0.0,0.25,0.25,50000,1,169.0,10.0,10,True,0.059171597633136,159,0.940828402366864,353.9940828402367,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
402,40,-0.02,0.85,0.995,0.0,0.25,0.25,50000,1,169.0,10.0,10,True,0.059171597633136,159,0.940828402366864,359.396449704142,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_2/grid_results.csv,2
240,24,-0.1,1.0,0.995,0.0,0.25,0.25,50000,1,169.0,10.0,10,True,0.059171597633136,159,0.940828402366864,361.792899408284,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
80,8,-0.1,0.7,0.995,0.0,0.25,0.75,50000,1,169.0,10.0,10,True,0.059171597633136,157,0.9289940828402368,370.3550295857988,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
