decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached,raw_interval_low,raw_interval_high,effective_center,effective_width,interval_clipped
relay-bp-paper-damping-c0p500-w1p000,60,5,5,0.5,1.0,0.0,1.0,60000180,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,574,4,88.18299999999999,0.006968641114982578,0.9930313588850174,0.0034721588430466363,0.4982547939771923,True,False,0.0,1.0,0.5,1.0,False
relay-bp-paper-damping-c0p600-w1p000,61,5,6,0.6000000000000001,1.0,0.10000000000000009,1.0,61000183,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2117,9,351.194,0.004251299008030231,0.9957487009919698,0.0014140842038092032,0.3326240288293426,True,False,0.10000000000000009,1.1,0.55,0.8999999999999999,True
relay-bp-paper-damping-c0p700-w1p000,62,5,7,0.7000000000000001,1.0,0.20000000000000007,1.0,62000186,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,302,2,31.653,0.006622516556291391,0.9933774834437086,0.004667294560280857,0.7047614786024095,True,False,0.20000000000000007,1.2000000000000002,0.6000000000000001,0.7999999999999999,True
relay-bp-paper-damping-c0p800-w1p000,63,5,8,0.8,1.0,0.30000000000000004,1.0,63000189,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1945,16,409.623,0.008226221079691516,0.9917737789203085,0.002048078962774171,0.24896959891223522,True,False,0.30000000000000004,1.3,0.65,0.7,True
relay-bp-paper-damping-c0p900-w1p000,64,5,9,0.9,1.0,0.4,1.0,64000192,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1760,14,379.4390000000001,0.007954545454545454,0.9920454545454546,0.0021174693650726183,0.26619614875198633,True,False,0.4,1.4,0.7,0.6,True
relay-bp-paper-damping-c1p000-w1p000,65,5,10,1.0,1.0,0.5,1.0,65000195,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2136,15,429.3630000000001,0.007022471910112359,0.9929775280898876,0.0018068166802687532,0.25729069527027043,True,False,0.5,1.5,0.75,0.5,True
relay-bp-paper-damping-c0p000-w1p200,66,6,0,0.0,1.2000000000000002,0.0,0.6000000000000001,66000198,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1347,11,385.749,0.008166295471417966,0.991833704528582,0.0024521564664747317,0.3002777054855876,True,False,-0.6000000000000001,0.6000000000000001,0.30000000000000004,0.6000000000000001,True
relay-bp-paper-damping-c0p100-w1p200,67,6,1,0.1,1.2000000000000002,0.0,0.7000000000000001,67000201,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1650,9,364.96400000000006,0.005454545454545455,0.9945454545454545,0.0018132163601581872,0.33242299936233427,True,False,-0.5000000000000001,0.7000000000000001,0.35000000000000003,0.7000000000000001,True
relay-bp-paper-damping-c0p200-w1p200,68,6,2,0.2,1.2000000000000002,0.0,0.8,68000204,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1931,10,363.2149999999999,0.005178663904712584,0.9948213360952874,0.0016333914267610107,0.31540788450755114,True,False,-0.4000000000000001,0.8,0.4,0.8,True
relay-bp-paper-damping-c0p300-w1p200,69,6,3,0.30000000000000004,1.2000000000000002,0.0,0.9000000000000001,69000207,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1093,10,240.64100000000002,0.009149130832570906,0.9908508691674291,0.002879943617544853,0.3147778373976524,True,False,-0.30000000000000004,0.9000000000000001,0.45000000000000007,0.9000000000000001,True
relay-bp-paper-damping-c0p400-w1p200,70,6,4,0.4,1.2000000000000002,0.0,1.0,70000210,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1700,15,362.38,0.008823529411764706,0.9911764705882353,0.002268152233256431,0.2570572531023955,True,False,-0.20000000000000007,1.0,0.5,1.0,True
